"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
6.511767812E0;-1.068628883E1;2.792746544E0;6.624382973E0
6.528433802E0;-9.066786766E-1;3.879342318E0;4.090691090E0
6.545099791E0;5.157750607E0;1.390326500E0;-3.206407070E0
6.561765781E0;5.680267811E0;-8.094358444E0;-8.434134483E0
6.578431771E0;2.578222275E0;-1.496767616E1;-1.206935787E1
6.595097760E0;-1.188845158E0;-1.529046440E1;-3.078932762E0
6.611763750E0;2.382544518E0;-5.699021816E0;1.558345890E1
6.628429739E0;9.071503639E0;-3.005505562E0;2.633677959E0
6.645095729E0;1.133319378E1;-2.044585228E0;-1.912436247E0
6.661761718E0;8.226397514E0;-9.151949883E-1;-2.289003372E0
6.678427708E0;5.132985592E0;-9.939012527E-1;-3.065503120E0
