"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
5.585047386E2;5.176315308E0;-2.126897430E1;1.994186401E1
5.585198176E2;5.192199707E0;-2.083960724E1;2.006646729E1
5.585348966E2;5.063499451E0;-2.087835693E1;2.004443359E1
5.585499756E2;5.154205322E0;-2.114270782E1;1.948074341E1
5.585650556E2;5.063194275E0;-2.090159607E1;1.997634888E1
5.585801346E2;5.205993652E0;-2.098391724E1;2.017480469E1
5.585952135E2;5.453781128E0;-2.104662323E1;2.016571045E1
5.586102925E2;5.600471497E0;-2.107516479E1;1.982687378E1
5.586253715E2;5.408180237E0;-2.125304413E1;1.993347168E1
5.586404515E2;5.429786682E0;-2.143652344E1;1.963293457E1
5.586555305E2;5.212036133E0;-2.146055603E1;1.987283325E1
5.586706095E2;5.281288147E0;-2.114386749E1;1.994769287E1
5.586856885E2;5.125022888E0;-2.139110565E1;2.013577271E1
5.587007685E2;5.205062866E0;-2.124489594E1;1.982998657E1
5.587158475E2;5.010246277E0;-2.144489288E1;1.988247681E1
5.587309265E2;5.073348999E0;-2.144687653E1;2.004620361E1
5.587460055E2;5.164382935E0;-2.110406494E1;2.005398560E1
5.587610845E2;5.258918762E0;-2.128462219E1;1.966973877E1
5.587761645E2;4.961669922E0;-2.152130890E1;2.035455322E1
5.587912435E2;5.329528809E0;-2.125481415E1;1.968334961E1
5.588063225E2;5.287902832E0;-2.137439728E1;1.965844727E1
5.588214015E2;5.084815979E0;-2.118434906E1;2.002862549E1
5.588364815E2;5.097045898E0;-2.124392700E1;1.986138916E1
5.588515605E2;5.238845825E0;-2.132254791E1;1.994448853E1
5.588666395E2;5.201316833E0;-2.112197876E1;1.995202637E1
5.588817185E2;5.036094666E0;-2.134477997E1;2.023843384E1
5.588967975E2;4.902038574E0;-2.153894043E1;2.025347900E1
5.589118775E2;5.098251343E0;-2.138372040E1;1.972488403E1
5.589269565E2;5.189796448E0;-2.141580963E1;2.019989014E1
5.589420355E2;5.111030579E0;-2.143974304E1;2.034765625E1
