"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
5.341158282E0;3.781685978E-2;4.346275628E-1;6.760429144E-1
5.357824272E0;1.782985032E-1;4.460791349E-1;5.024049878E-1
5.374490261E0;3.355580568E-1;4.058654606E-1;3.319627941E-1
5.391156251E0;4.664523304E-1;3.748396337E-1;1.711079776E-1
5.407822240E0;4.852275848E-1;2.846917212E-1;5.592634156E-2
5.424488230E0;4.576638937E-1;3.428817391E-1;-2.370211668E-2
5.441154220E0;4.217112362E-1;4.245075583E-1;6.458161026E-2
5.457820209E0;3.842938542E-1;4.074633420E-1;2.703106403E-1
5.474486199E0;3.679154217E-1;4.258391261E-1;4.898881316E-1
5.491152188E0;3.229080439E-1;2.779006660E-1;5.860281587E-1
5.507818178E0;2.504701018E-1;1.653821766E-1;5.334307551E-1
5.524484168E0;1.171789989E-1;2.392848432E-1;4.411523044E-1
5.541150157E0;-2.569948509E-2;3.926828206E-1;4.020038545E-1
5.557816147E0;-1.094558388E-1;5.056007504E-1;3.735080659E-1
5.574482136E0;-1.844237745E-1;5.795034170E-1;3.065296113E-1
5.591148126E0;-3.396859467E-1;6.295707822E-1;1.613874435E-1
5.607814115E0;-5.293028951E-1;6.804371476E-1;4.620581120E-2
5.624480105E0;-6.418213248E-1;6.988129616E-1;8.109319210E-2
5.641146095E0;-6.464818716E-1;6.845650673E-1;1.981390417E-1
5.657812084E0;-5.406212807E-1;5.203812718E-1;2.901511788E-1
5.674478074E0;-4.178496599E-1;2.648511827E-1;2.150501013E-1
5.691144063E0;-4.016043842E-1;-3.968106955E-2;1.382179558E-1
5.707810053E0;-5.001412630E-1;-1.327584833E-1;1.077247858E-1
5.724476043E0;-7.004108429E-1;-6.378266215E-2;7.656582445E-2
5.741142032E0;-8.242477179E-1;-1.427453309E-1;1.241032109E-1
5.757808022E0;-7.649924755E-1;-5.764408112E-1;1.676458716E-1
5.774474011E0;-5.950828791E-1;-1.060469985E0;7.097318769E-2
5.791140001E0;-4.515386224E-1;-8.226498365E-1;-1.771000773E-2
5.807805990E0;-4.519380927E-1;-1.059937328E-1;-2.596580051E-2
5.824471980E0;-3.930822909E-1;3.820301592E-1;3.368896246E-2
5.841137970E0;-2.890859246E-1;5.721797347E-1;4.953476042E-2
5.857803959E0;-2.564622164E-1;5.664539337E-1;6.910897791E-2
5.874469949E0;-4.135886133E-1;5.745765567E-1;5.060002208E-2
5.891135938E0;-6.198502779E-1;6.069339514E-1;-4.527370445E-3
5.907801928E0;-6.986798048E-1;3.957454562E-1;-1.884185076E-1
5.924467918E0;-9.121319652E-1;1.221058443E-1;2.436790615E-2
