"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
5.974465886E0;-8.711295128E-1;-3.856980801E-2;-2.991192818E0
5.991131876E0;-1.253508806E0;8.312340975E-1;-1.929194927E0
6.007797865E0;-1.018316746E-1;6.695317030E-1;-1.547183990E0
6.024463855E0;1.305888891E0;1.781376600E-1;-1.148516655E0
6.041129845E0;1.666454077E0;4.462195635E-1;6.652393341E-1
6.057795834E0;1.393387079E0;2.927712202E-1;-2.396387577E0
6.074461824E0;1.166675210E0;7.259432673E-1;-2.417948723E0
6.091127813E0;2.204695463E0;5.286639929E-1;-1.601708412E0
6.107793803E0;1.339719892E0;-5.918455720E-1;-5.943536758E-1
6.124459793E0;1.249647021E0;-1.356955767E0;1.620291710E0
6.141125782E0;2.053112507E0;-1.608632088E0;1.601299286E0
6.157791772E0;1.623925209E0;-1.715633869E0;8.600606918E-1
6.174457761E0;1.841280460E-1;-1.412556887E0;2.176284790E-2
6.191123751E0;-1.449379563E0;6.177350283E-1;-5.013160706E-1
6.207789740E0;-8.406465054E-1;3.251869678E0;-1.045931339E0
6.224455730E0;6.209001541E-1;3.104867697E0;4.698095322E-1
6.241121720E0;7.645939589E-1;3.752010107E0;2.522983551E-1
6.257787709E0;6.266191006E-1;4.321061134E0;2.162788391E0
6.274453699E0;1.009787321E0;3.322608232E0;2.994277954E0
6.291119688E0;1.725599527E0;1.436655760E0;3.903440475E0
6.307785678E0;1.734332085E0;8.981075287E-1;4.540799141E0
6.324451668E0;2.089701653E0;1.022348166E0;3.531079292E0
6.341117657E0;1.500725150E0;1.147554159E0;7.723245621E-1
6.357783647E0;1.950032711E-1;1.415911913E0;-3.271827698E-1
6.374449636E0;-6.624888182E-1;1.746254206E0;7.118406296E-1
6.391115626E0;1.832227230E0;-1.130656958E0;1.013026237E0
6.407781615E0;8.733382225E-1;-9.465396404E-1;1.348412514E0
6.424447605E0;-2.549977303E0;-3.863730431E-1;2.400446892E0
6.441113595E0;-2.602372169E0;-1.491721869E0;2.652283669E0
6.457779584E0;-1.060045481E0;-2.868731499E0;1.209402084E0
6.474445574E0;-1.311809540E0;-2.487705708E0;-2.225856781E-1
6.491111563E0;-2.892072678E0;-2.009123564E0;-7.891802788E-1
6.507777553E0;-3.434045553E0;-1.501443863E0;-1.306668758E0
6.524443543E0;-1.932372808E0;-2.743286610E0;-1.273714542E0
6.541109532E0;-2.734002352E0;-3.273311377E0;-1.197290421E-2
6.557775522E0;-3.554100037E0;-3.585913658E0;-2.546815872E-1
6.574441511E0;-3.729014158E0;-3.409271717E0;-2.975998878E0
6.591107501E0;-3.320052385E0;-3.378485680E0;-4.728891850E0
6.607773490E0;-2.494304180E0;-2.810258389E0;-4.056602001E0
6.624439480E0;-2.115375996E0;-2.834224224E0;-1.541006565E0
6.641105470E0;-1.880796432E0;-2.671804905E0;-2.241506577E-1
